case_id;prefix_nr;prefix;probability;alarm;duration_seconds;time_label;variant
211263;16;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Completeren aanvraag > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > W_Nabellen offertes > O_SENT_BACK > W_Nabellen offertes > W_Valideren aanvraag > A_APPROVED;0.884;1;1889443.013;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Completeren aanvraag|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|W_Valideren aanvraag|A_APPROVED|O_ACCEPTED|A_ACTIVATED|A_REGISTERED|W_Valideren aanvraag
207795;24;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Completeren aanvraag > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > O_SENT_BACK > W_Nabellen offertes > W_Valideren aanvraag > W_Nabellen incomplete dossiers > W_Nabellen incomplete dossiers > W_Nabellen incomplete dossiers > W_Nabellen incomplete dossiers > W_Nabellen incomplete dossiers > O_CANCELLED > O_SELECTED > O_CREATED > O_SENT > W_Nabellen incomplete dossiers;0.866;1;1890596.343;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Completeren aanvraag|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|O_CANCELLED|O_SELECTED|O_CREATED|O_SENT|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|A_CANCELLED|O_CANCELLED|W_Nabellen incomplete dossiers
208358;28;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Afhandelen leads > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > O_SENT_BACK > W_Nabellen offertes > W_Valideren aanvraag > W_Nabellen incomplete dossiers;0.854;1;2078588.327;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Afhandelen leads|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|A_DECLINED|O_DECLINED|W_Nabellen incomplete dossiers
210497;21;A_SUBMITTED > A_PARTLYSUBMITTED > W_Afhandelen leads > A_PREACCEPTED > W_Afhandelen leads > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > O_SENT_BACK > W_Nabellen offertes > W_Valideren aanvraag > W_Valideren aanvraag > W_Nabellen incomplete dossiers > W_Nabellen incomplete dossiers;0.84;1;2057209.333;high;A_SUBMITTED|A_PARTLYSUBMITTED|W_Afhandelen leads|A_PREACCEPTED|W_Afhandelen leads|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|W_Valideren aanvraag|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|A_ACTIVATED|A_APPROVED|A_REGISTERED|O_ACCEPTED|W_Valideren aanvraag
210719;18;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > O_CANCELLED > O_SELECTED > O_CREATED > O_SENT > W_Nabellen offertes;0.838;1;1774164.398;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|O_CANCELLED|O_SELECTED|O_CREATED|O_SENT|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|A_CANCELLED|O_CANCELLED|W_Nabellen offertes
210671;13;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > O_SENT_BACK > W_Nabellen offertes > W_Valideren aanvraag;0.828;1;2127846.998;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|W_Valideren aanvraag|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|O_CANCELLED|O_SELECTED|O_CREATED|O_SENT|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|O_SENT_BACK|W_Nabellen incomplete dossiers|A_APPROVED|A_REGISTERED|O_ACCEPTED|A_ACTIVATED|W_Valideren aanvraag
204592;25;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Completeren aanvraag > W_Completeren aanvraag > W_Completeren aanvraag > A_ACCEPTED > A_FINALIZED > O_SELECTED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > O_CANCELLED > O_SELECTED > O_CREATED > O_SENT > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > O_SENT_BACK;0.826;1;2152208.17;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Completeren aanvraag|W_Completeren aanvraag|W_Completeren aanvraag|A_ACCEPTED|A_FINALIZED|O_SELECTED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|O_CANCELLED|O_SELECTED|O_CREATED|O_SENT|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|O_ACCEPTED|A_ACTIVATED|A_APPROVED|A_REGISTERED|W_Valideren aanvraag
207044;12;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Afhandelen leads > W_Completeren aanvraag > W_Completeren aanvraag > A_ACCEPTED > O_SELECTED > A_FINALIZED > O_CREATED > O_SENT > W_Completeren aanvraag;0.824;1;2758759.251;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Afhandelen leads|W_Completeren aanvraag|W_Completeren aanvraag|A_ACCEPTED|O_SELECTED|A_FINALIZED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|A_CANCELLED|O_CANCELLED
204712;6;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Afhandelen leads > A_ACCEPTED > O_SELECTED;0.822;1;3799827.223;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Afhandelen leads|A_ACCEPTED|O_SELECTED|A_FINALIZED|O_CREATED|O_SENT|W_Completeren aanvraag|O_CANCELLED|O_SELECTED|O_CREATED|O_SENT|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|O_SENT_BACK|W_Nabellen offertes|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Valideren aanvraag|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|O_CANCELLED|O_SELECTED|O_CREATED|O_SENT|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|W_Nabellen incomplete dossiers|A_DECLINED|O_DECLINED|W_Nabellen incomplete dossiers
204724;21;A_SUBMITTED > A_PARTLYSUBMITTED > A_PREACCEPTED > W_Afhandelen leads > W_Completeren aanvraag > A_ACCEPTED > O_SELECTED > A_FINALIZED > O_CREATED > O_SENT > W_Completeren aanvraag > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > W_Nabellen offertes > A_CANCELLED > O_CANCELLED > W_Nabellen offertes;0.82;1;2177456.284;high;A_SUBMITTED|A_PARTLYSUBMITTED|A_PREACCEPTED|W_Afhandelen leads|W_Completeren aanvraag|A_ACCEPTED|O_SELECTED|A_FINALIZED|O_CREATED|O_SENT|W_Completeren aanvraag|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|W_Nabellen offertes|A_CANCELLED|O_CANCELLED|W_Nabellen offertes
