state,last_action_name,org:resource,AMOUNT_REQ,remaining_time_minutes,execution_time_minutes,initial
0,start,112,24867.841309823678,14573.362589126784,14573.362589126784,True
1,A_SUBMITTED,112,24867.841309823678,14573.362589126784,14573.362589126784,False
2,A_PARTLYSUBMITTED,112,24867.841309823678,14573.35310902603,14573.362589126784,False
3,A_PREACCEPTED,112,24792.2397094431,14880.33207606941,14945.382970903955,False
4,A_ACCEPTED,11189,24495.603938730852,15023.906978446386,15665.086580306346,False
5,O_SELECTED,11200,24581.43859649123,14099.619859064327,16520.01749157363,False
6,A_FINALIZED,11189,24495.603938730852,15014.38883519329,15665.086580306346,False
7,O_CREATED,11200,24581.43859649123,14099.556765018604,16520.01749157363,False
8,O_SENT,11200,24581.43859649123,14099.555783811802,16520.01749157363,False
9,W_Completeren aanvraag,0,24415.765476190478,15494.695505932541,16270.548567103173,False
10,W_Nabellen offertes,0,24655.516483516483,8986.883251053114,19238.110574945054,False
11,O_SENT_BACK,11049,24976.84580498866,5726.184173204837,18665.186513038545,False
12,A_REGISTERED,10138,25278.157534246577,0.13020605022838064,17975.290073515982,False
13,A_APPROVED,10138,25278.157534246577,0.1302096461188378,17975.290073515982,False
14,O_ACCEPTED,10138,25278.157534246577,0.13021484018266674,17975.290073515982,False
15,A_ACTIVATED,10138,25278.157534246577,0.13020433789958202,17975.290073515982,False
16,W_Valideren aanvraag,10138,25598.568908489528,1804.3776305769936,19122.86943585079,False
17,archive_application,10138,24955.772128060264,0.0,17456.183989673573,False
18,start,112,9550.479234972678,19857.469795737703,19857.469795737703,True
19,A_SUBMITTED,112,9550.479234972678,19857.469795737703,19857.469795737703,False
20,A_PARTLYSUBMITTED,112,9550.479234972678,19857.46037993625,19857.469795737703,False
21,A_PREACCEPTED,112,9497.907253269917,20260.2008440547,20335.038711514073,False
22,W_Completeren aanvraag,0,8866.6285475793,10802.49160422927,11747.29168532276,False
23,A_ACCEPTED,11189,8692.702290076335,10626.637141068702,11412.16889524173,False
24,A_FINALIZED,11189,8692.702290076335,10622.946365241729,11412.16889524173,False
25,O_SELECTED,11189,8872.492273730684,9564.858701214129,12969.706996983077,False
26,O_CREATED,11189,8872.492273730684,9564.790798565122,12969.706996983077,False
27,O_SENT,11189,8872.492273730684,9564.789732891832,12969.706996983077,False
28,W_Nabellen offertes,0,8783.219433399603,5653.148060222001,18787.054694657058,False
29,O_CANCELLED,10861,8872.010512483574,2244.0915590451164,17442.123031668856,False
30,O_SENT_BACK,11049,9022.620663650076,5034.039466955756,19075.33796936903,False
31,W_Valideren aanvraag,10609,9107.689006272698,1362.158052734676,20130.856954022227,False
32,O_ACCEPTED,10138,9409.005859375,5.47582509765628,19585.514164046224,False
33,A_APPROVED,10138,9409.005859375,5.475820198567741,19585.514164046224,False
34,A_REGISTERED,10138,9409.005859375,5.475815576171852,19585.514164046224,False
35,A_ACTIVATED,10138,9409.005859375,5.475814225260413,19585.514164046224,False
36,archive_application,10609,8952.5,0.0,18983.583117030143,False
37,start,112,9519.755255255255,45709.93703118118,45709.93703118118,True
38,A_SUBMITTED,112,9519.755255255255,45709.93703118118,45709.93703118118,False
39,A_PARTLYSUBMITTED,112,9519.755255255255,45709.92669584584,45709.93703118118,False
40,A_PREACCEPTED,112,9505.441964285714,45499.936785168655,45600.41923804564,False
41,W_Completeren aanvraag,0,9362.600098376783,44855.64347891457,47002.197961813414,False
42,A_ACCEPTED,11169,9460.769345238095,43940.97083219246,45684.83657886905,False
43,A_FINALIZED,11169,9460.769345238095,43930.99601026786,45684.83657886905,False
44,O_SELECTED,11189,9608.298324022346,43241.51345245811,47370.752688305394,False
45,O_CREATED,11189,9608.298324022346,43241.44809791434,47370.752688305394,False
46,O_SENT,11189,9608.298324022346,43241.4471467784,47370.752688305394,False
47,O_CANCELLED,11181,10052.86995515695,41163.79022249627,52451.18150239163,False
48,W_Nabellen offertes,0,9573.938589211619,35511.84561637622,49850.87537976487,False
49,W_Nabellen offertes,0,8625.391977760128,11946.657252151177,53622.09406214588,False
50,O_SENT_BACK,11259,8725.252631578947,9078.131941929825,53471.33869166667,False
51,O_ACCEPTED,10609,8941.127819548872,21.682049749373483,56111.12195864662,False
52,A_APPROVED,10609,8941.127819548872,21.682044486215542,56111.12195864662,False
53,A_REGISTERED,10609,8941.127819548872,21.681919674185473,56111.12195864662,False
54,A_ACTIVATED,10609,8941.127819548872,21.68191879699247,56111.12195864662,False
55,W_Valideren aanvraag,10609,8649.63763066202,5706.0498373403025,55701.60475206156,False
56,archive_application,112,8497.95588235294,0.0,54835.24378106618,False
57,start,112,45045.75862068965,19465.686752394635,19465.686752394635,True
58,A_SUBMITTED,112,45045.75862068965,19465.686752394635,19465.686752394635,False
59,A_PARTLYSUBMITTED,112,45045.75862068965,19465.675815613024,19465.686752394635,False
60,A_PREACCEPTED,112,45016.92571428572,19469.697111714286,19535.335474857144,False
61,W_Completeren aanvraag,0,45382.562666666665,19110.849622577778,20320.10545764444,False
62,A_ACCEPTED,11169,45029.813559322036,18840.932959887003,19753.507419585687,False
63,O_SELECTED,11169,44641.00384615385,17322.89703846154,22472.25257224359,False
64,A_FINALIZED,11169,45029.813559322036,18837.561766195857,19753.507419585687,False
65,O_CREATED,11169,44641.00384615385,17322.846399679485,22472.25257224359,False
66,O_SENT,11169,44641.00384615385,17322.845525641027,22472.25257224359,False
