state,last_action_name,AMOUNT_REQ,remaining_time_minutes,execution_time_minutes,initial
0,start,medium,medium,low,True
1,A_SUBMITTED,medium,medium,low,False
2,A_PARTLYSUBMITTED,medium,medium,low,False
3,A_PREACCEPTED,medium,medium,low,False
4,A_ACCEPTED,medium,medium,low,False
5,O_SELECTED,medium,medium,low,False
6,A_FINALIZED,medium,medium,low,False
7,O_CREATED,medium,medium,low,False
8,O_SENT,medium,medium,low,False
9,W_Completeren aanvraag,medium,medium,low,False
10,W_Nabellen offertes,medium,medium,low,False
11,O_SENT_BACK,medium,low,low,False
12,A_REGISTERED,high,low,low,False
13,A_APPROVED,high,low,low,False
14,O_ACCEPTED,high,low,low,False
15,A_ACTIVATED,high,low,low,False
16,W_Valideren aanvraag,high,low,low,False
17,archive_application,medium,low,low,False
18,start,low,medium,low,True
19,A_SUBMITTED,low,medium,low,False
20,A_PARTLYSUBMITTED,low,medium,low,False
21,A_PREACCEPTED,low,medium,low,False
22,W_Completeren aanvraag,low,medium,low,False
23,A_ACCEPTED,low,medium,low,False
24,A_FINALIZED,low,medium,low,False
25,O_SELECTED,low,medium,low,False
26,O_CREATED,low,medium,low,False
27,O_SENT,low,medium,low,False
28,W_Nabellen offertes,low,low,low,False
29,O_CANCELLED,low,low,low,False
30,O_SENT_BACK,low,low,low,False
31,W_Valideren aanvraag,low,low,low,False
32,O_ACCEPTED,low,low,low,False
33,A_APPROVED,low,low,low,False
34,A_REGISTERED,low,low,low,False
35,A_ACTIVATED,low,low,low,False
36,archive_application,low,low,low,False
37,start,low,high,medium,True
38,A_SUBMITTED,low,high,medium,False
39,A_PARTLYSUBMITTED,low,high,medium,False
40,A_PREACCEPTED,low,high,medium,False
41,W_Completeren aanvraag,low,high,high,False
42,A_ACCEPTED,low,high,medium,False
43,A_FINALIZED,low,high,medium,False
44,O_SELECTED,low,high,high,False
45,O_CREATED,low,high,high,False
46,O_SENT,low,high,high,False
47,O_CANCELLED,medium,high,high,False
48,W_Nabellen offertes,low,high,high,False
49,W_Nabellen offertes,low,medium,high,False
50,O_SENT_BACK,low,medium,high,False
51,O_ACCEPTED,low,low,high,False
52,A_APPROVED,low,low,high,False
53,A_REGISTERED,low,low,high,False
54,A_ACTIVATED,low,low,high,False
55,W_Valideren aanvraag,low,low,high,False
56,archive_application,low,low,high,False
57,start,high,medium,low,True
58,A_SUBMITTED,high,medium,low,False
59,A_PARTLYSUBMITTED,high,medium,low,False
60,A_PREACCEPTED,high,medium,low,False
61,W_Completeren aanvraag,high,medium,low,False
62,A_ACCEPTED,high,medium,low,False
63,O_SELECTED,high,medium,low,False
64,A_FINALIZED,high,medium,low,False
65,O_CREATED,high,medium,low,False
66,O_SENT,high,medium,low,False
67,W_Nabellen offertes,high,medium,medium,False
68,O_SENT_BACK,high,low,medium,False
69,A_DECLINED,high,low,medium,False
70,O_DECLINED,high,low,medium,False
71,W_Valideren aanvraag,high,low,medium,False
72,archive_application,high,low,medium,False
73,W_Nabellen offertes,low,medium,medium,False
74,O_SENT_BACK,low,medium,medium,False
75,W_Valideren aanvraag,medium,low,medium,False
76,W_Nabellen incomplete dossiers,low,medium,medium,False
77,W_Nabellen incomplete dossiers,medium,low,medium,False
78,O_ACCEPTED,medium,low,medium,False
79,A_APPROVED,medium,low,medium,False
80,A_REGISTERED,medium,low,medium,False
81,A_ACTIVATED,medium,low,medium,False
82,archive_application,medium,low,medium,False
83,W_Nabellen incomplete dossiers,low,low,low,False
84,O_DECLINED,low,low,low,False
85,A_DECLINED,low,low,low,False
86,W_Completeren aanvraag,low,medium,medium,False
87,A_ACCEPTED,low,medium,low,False
88,O_SELECTED,low,medium,medium,False
89,A_FINALIZED,low,medium,low,False
90,O_CREATED,low,medium,medium,False
91,O_SENT,low,medium,medium,False
92,O_CANCELLED,medium,medium,medium,False
93,start,low,low,low,True
94,A_SUBMITTED,low,low,low,False
95,A_PARTLYSUBMITTED,low,low,low,False
96,A_PREACCEPTED,low,medium,low,False
97,W_Afhandelen leads,low,medium,low,False
98,A_CANCELLED,low,low,low,False
99,O_SENT_BACK,low,high,high,False
100,W_Valideren aanvraag,medium,high,high,False
101,W_Nabellen incomplete dossiers,medium,high,high,False
102,W_Nabellen incomplete dossiers,low,medium,high,False
103,A_CANCELLED,low,low,high,False
104,O_CANCELLED,low,low,high,False
105,start,high,high,high,True
106,A_SUBMITTED,high,high,high,False
107,A_PARTLYSUBMITTED,high,high,high,False
108,A_PREACCEPTED,high,high,high,False
109,W_Afhandelen leads,high,high,high,False
110,W_Completeren aanvraag,high,high,high,False
111,A_ACCEPTED,high,high,high,False
112,O_SELECTED,high,high,high,False
113,A_FINALIZED,high,high,high,False
114,O_CREATED,high,high,high,False
115,O_SENT,high,high,high,False
116,W_Nabellen offertes,high,high,high,False
117,A_CANCELLED,high,low,medium,False
118,O_CANCELLED,high,medium,medium,False
119,W_Nabellen incomplete dossiers,high,low,medium,False
120,O_ACCEPTED,high,low,medium,False
121,A_APPROVED,high,low,medium,False
122,A_REGISTERED,high,low,medium,False
123,A_ACTIVATED,high,low,medium,False
124,W_Afhandelen leads,low,medium,medium,False
125,start,medium,high,high,True
126,A_SUBMITTED,medium,high,high,False
127,A_PARTLYSUBMITTED,medium,high,high,False
128,A_PREACCEPTED,medium,high,high,False
129,W_Completeren aanvraag,medium,high,high,False
130,A_ACCEPTED,medium,high,high,False
131,O_SELECTED,medium,high,high,False
132,A_FINALIZED,medium,high,high,False
133,O_CREATED,medium,high,high,False
134,O_SENT,medium,high,high,False
135,O_CANCELLED,medium,high,high,False
136,W_Nabellen offertes,medium,high,high,False
137,O_SENT_BACK,high,high,high,False
138,W_Valideren aanvraag,high,high,high,False
139,W_Nabellen incomplete dossiers,high,high,high,False
140,W_Afhandelen leads,medium,high,medium,False
141,O_SENT_BACK,medium,high,high,False
142,W_Valideren aanvraag,medium,high,high,False
143,W_Nabellen incomplete dossiers,medium,high,high,False
144,start,high,high,medium,True
145,A_SUBMITTED,high,high,medium,False
146,A_PARTLYSUBMITTED,high,high,medium,False
147,A_PREACCEPTED,high,high,medium,False
148,W_Afhandelen leads,high,high,medium,False
149,A_ACCEPTED,high,high,medium,False
150,A_FINALIZED,high,high,medium,False
151,O_SELECTED,high,high,medium,False
152,O_CREATED,high,high,medium,False
153,O_SENT,high,high,medium,False
154,W_Completeren aanvraag,high,high,medium,False
155,W_Nabellen offertes,high,high,medium,False
