state,action_index,action,next_state,probability
0,1,A_SUBMITTED,1,1.0
1,2,A_PARTLYSUBMITTED,2,1.0
2,3,A_PREACCEPTED,3,0.9921465968586387
2,3,A_PREACCEPTED,96,0.007853403141361256
3,4,A_ACCEPTED,4,0.9836065573770492
3,4,A_ACCEPTED,23,0.01639344262295082
4,5,O_SELECTED,5,1.0
5,6,A_FINALIZED,6,1.0
6,7,O_CREATED,7,1.0
7,8,O_SENT,8,1.0
8,9,W_Completeren aanvraag,9,0.9978118161925602
8,9,W_Completeren aanvraag,154,0.002188183807439825
9,10,W_Nabellen offertes,10,1.0
10,10,W_Nabellen offertes,10,0.9700680272108844
10,10,W_Nabellen offertes,28,0.005442176870748299
10,10,W_Nabellen offertes,156,0.024489795918367346
10,11,O_SENT_BACK,11,0.9700598802395209
10,11,O_SENT_BACK,30,0.014970059880239521
10,11,O_SENT_BACK,161,0.014970059880239521
11,10,W_Nabellen offertes,10,1.0
10,12,A_REGISTERED,12,0.8461538461538461
10,12,A_REGISTERED,80,0.15384615384615385
12,13,A_APPROVED,13,1.0
13,14,O_ACCEPTED,14,1.0
14,15,A_ACTIVATED,15,1.0
15,16,W_Valideren aanvraag,16,1.0
16,17,archive_application,17,1.0
18,1,A_SUBMITTED,19,1.0
19,2,A_PARTLYSUBMITTED,20,1.0
20,3,A_PREACCEPTED,3,0.006246450880181715
20,3,A_PREACCEPTED,21,0.9273140261215219
20,3,A_PREACCEPTED,40,0.0034071550255536627
20,3,A_PREACCEPTED,96,0.06076093128904032
20,3,A_PREACCEPTED,147,0.002271436683702442
21,9,W_Completeren aanvraag,9,0.0243161094224924
21,9,W_Completeren aanvraag,22,0.26595744680851063
21,9,W_Completeren aanvraag,41,0.010638297872340425
21,9,W_Completeren aanvraag,86,0.6914893617021277
21,9,W_Completeren aanvraag,154,0.007598784194528876
22,4,A_ACCEPTED,23,0.993127147766323
22,4,A_ACCEPTED,87,0.006872852233676976
23,6,A_FINALIZED,24,1.0
24,5,O_SELECTED,25,1.0
25,7,O_CREATED,26,1.0
26,8,O_SENT,27,1.0
27,9,W_Completeren aanvraag,22,1.0
22,10,W_Nabellen offertes,28,1.0
28,5,O_SELECTED,25,1.0
25,18,O_CANCELLED,29,1.0
29,7,O_CREATED,26,1.0
27,10,W_Nabellen offertes,28,1.0
28,10,W_Nabellen offertes,28,0.9990917347865577
28,10,W_Nabellen offertes,73,0.0009082652134423251
28,11,O_SENT_BACK,30,1.0
30,10,W_Nabellen offertes,28,1.0
28,16,W_Valideren aanvraag,31,1.0
31,16,W_Valideren aanvraag,16,0.0016611295681063123
31,16,W_Valideren aanvraag,31,0.9950166112956811
31,16,W_Valideren aanvraag,75,0.0016611295681063123
31,16,W_Valideren aanvraag,180,0.0016611295681063123
31,14,O_ACCEPTED,32,1.0
32,13,A_APPROVED,33,1.0
33,12,A_REGISTERED,34,1.0
34,15,A_ACTIVATED,35,1.0
35,16,W_Valideren aanvraag,31,1.0
31,17,archive_application,36,1.0
37,1,A_SUBMITTED,38,1.0
38,2,A_PARTLYSUBMITTED,39,1.0
39,3,A_PREACCEPTED,40,1.0
40,9,W_Completeren aanvraag,41,0.9964788732394366
40,9,W_Completeren aanvraag,129,0.0035211267605633804
41,9,W_Completeren aanvraag,41,0.9883103081827843
41,9,W_Completeren aanvraag,86,0.006376195536663124
41,9,W_Completeren aanvraag,154,0.004250797024442083
41,9,W_Completeren aanvraag,188,0.0010626992561105207
41,4,A_ACCEPTED,42,0.9927184466019418
41,4,A_ACCEPTED,87,0.0048543689320388345
41,4,A_ACCEPTED,149,0.0024271844660194173
42,6,A_FINALIZED,43,1.0
43,5,O_SELECTED,44,1.0
44,7,O_CREATED,45,1.0
45,8,O_SENT,46,1.0
46,9,W_Completeren aanvraag,41,1.0
41,5,O_SELECTED,44,0.9795918367346939
41,5,O_SELECTED,88,0.02040816326530612
44,18,O_CANCELLED,47,1.0
47,7,O_CREATED,45,1.0
46,10,W_Nabellen offertes,48,1.0
48,10,W_Nabellen offertes,48,0.7375919117647058
48,10,W_Nabellen offertes,49,0.19117647058823528
48,10,W_Nabellen offertes,73,0.03308823529411765
48,10,W_Nabellen offertes,155,0.012408088235294117
48,10,W_Nabellen offertes,156,0.025735294117647058
48,5,O_SELECTED,44,0.8285714285714286
48,5,O_SELECTED,88,0.04285714285714286
48,5,O_SELECTED,151,0.014285714285714285
48,5,O_SELECTED,164,0.08571428571428572
48,5,O_SELECTED,176,0.02857142857142857
49,10,W_Nabellen offertes,28,0.0005659309564233164
49,10,W_Nabellen offertes,49,0.9886813808715337
49,10,W_Nabellen offertes,156,0.010752688172043012
49,11,O_SENT_BACK,30,0.00684931506849315
49,11,O_SENT_BACK,50,0.958904109589041
49,11,O_SENT_BACK,161,0.03424657534246575
50,10,W_Nabellen offertes,49,1.0
49,14,O_ACCEPTED,32,0.05
49,14,O_ACCEPTED,51,0.95
51,13,A_APPROVED,52,1.0
52,12,A_REGISTERED,53,1.0
53,15,A_ACTIVATED,54,1.0
54,16,W_Valideren aanvraag,55,1.0
55,17,archive_application,56,1.0
57,1,A_SUBMITTED,58,1.0
58,2,A_PARTLYSUBMITTED,59,1.0
59,3,A_PREACCEPTED,60,1.0
60,9,W_Completeren aanvraag,61,1.0
61,4,A_ACCEPTED,4,0.011627906976744186
61,4,A_ACCEPTED,62,0.9883720930232558
62,5,O_SELECTED,63,1.0
63,6,A_FINALIZED,64,1.0
64,7,O_CREATED,65,1.0
65,8,O_SENT,66,1.0
66,9,W_Completeren aanvraag,61,1.0
61,10,W_Nabellen offertes,10,0.0234375
61,10,W_Nabellen offertes,67,0.9765625
67,11,O_SENT_BACK,11,0.012578616352201259
67,11,O_SENT_BACK,68,0.9811320754716981
67,11,O_SENT_BACK,161,0.006289308176100629
