state,last_action_name,Permit TaskNumber,Permit OrganizationalEntity,Resource,Role,DeclarationNumber,Permit travel permit number,travel permit number,Permit BudgetNumber,Permit ProjectNumber,Permit ID,Permit id,BudgetNumber,Amount,RequestedAmount,OriginalAmount,Permit RequestedBudget,AdjustedAmount,execution_time_minutes,initial
0,start,task 427,organizational unit 65455,STAFF MEMBER,EMPLOYEE,3455.8492647058824,3270.7757352941176,3347.78125,117.00735294117646,277.9117647058824,3338.9944852941176,3270.9944852941176,355.99816176470586,802.6681823725337,802.6681823725337,802.6681823725337,1497.7420329712982,802.6681823725337,133746.0588235294,True
1,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65455,STAFF MEMBER,EMPLOYEE,3458.8524305555557,3274.925347222222,3351.9305555555557,117.34027777777777,273.46527777777777,3343.144097222222,3275.144097222222,350.6736111111111,809.5235864214027,809.5235864214027,809.5235864214027,1508.5380848129118,809.5235864214027,134811.26556712962,False
2,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,STAFF MEMBER,ADMINISTRATION,3397.5970515970516,3210.980343980344,3287.987714987715,111.91891891891892,226.7002457002457,3279.004914004914,3211.004914004914,444.34643734643737,807.7794931257665,807.7794931257665,807.7794931257665,1346.3862740220713,807.7794931257664,117843.07764127763,False
3,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,STAFF MEMBER,SUPERVISOR,3448.805194805195,3266.7597402597403,3343.7640692640693,112.43722943722943,269.0822510822511,3334.9523809523807,3266.9523809523807,367.17316017316017,695.1352451022508,695.1352451022508,695.1352451022508,1059.9171710322387,695.1352451022508,113495.19913419914,False
4,Start trip,task 427,organizational unit 65455,STAFF MEMBER,EMPLOYEE,3455.8492647058824,3270.7757352941176,3347.78125,117.00735294117646,277.9117647058824,3338.9944852941176,3270.9944852941176,355.99816176470586,802.6681823725337,802.6681823725337,802.6681823725337,1497.7420329712982,802.6681823725337,133746.0588235294,False
5,End trip,task 427,organizational unit 65455,STAFF MEMBER,EMPLOYEE,3455.8492647058824,3270.7757352941176,3347.78125,117.00735294117646,277.9117647058824,3338.9944852941176,3270.9944852941176,355.99816176470586,802.6681823725337,802.6681823725337,802.6681823725337,1497.7420329712982,802.6681823725337,133746.0588235294,False
6,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,STAFF MEMBER,EMPLOYEE,3452.8252427184466,3270.46185852982,3347.4660194174758,115.6005547850208,272.5423023578363,3338.6726768377252,3270.6726768377252,354.59223300970876,884.537128677295,884.537128677295,884.537128677295,1536.7673118858593,884.537128677295,134876.81088765603,False
7,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65456,STAFF MEMBER,ADMINISTRATION,3370.586901763224,3216.015113350126,3293.015113350126,111.1662468513854,228.0302267002519,3284.0554156171283,3216.0554156171283,441.3299748110831,828.6867356807843,828.6867356807843,828.6867356807843,1358.9541756553647,828.6867356807841,120278.83291351802,False
8,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,STAFF MEMBER,SUPERVISOR,3436.420542635659,3280.3527131782944,3357.3527131782944,116.4748062015504,287.62984496124034,3348.5833333333335,3280.5833333333335,349.1337209302326,702.5918856836603,702.5918856836603,702.5918856836603,1383.8036257311724,702.5918856836602,131925.38349483203,False
9,Request Payment,task 427,organizational unit 65455,SYSTEM,UNDEFINED,3432.4239543726235,3276.3574144486693,3353.3574144486693,117.13117870722434,278.4334600760456,3344.589353612167,3276.589353612167,353.43536121673003,827.2836871379017,827.2836871379017,827.2836871379017,1501.2094485566429,827.2836871379017,132097.89603929024,False
