state,last_action_name,Permit TaskNumber,Permit OrganizationalEntity,DeclarationNumber,Permit travel permit number,travel permit number,Permit BudgetNumber,Permit ProjectNumber,Permit ID,Permit id,BudgetNumber,Amount,RequestedAmount,OriginalAmount,Permit RequestedBudget,AdjustedAmount,execution_time_minutes,remaining_time_minutes,initial
0,start,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,medium,medium,medium,medium,high,medium,medium,high,True
1,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,low,medium,medium,medium,high,medium,high,high,False
2,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,medium,high,high,medium,medium,high,high,medium,medium,medium,medium,medium,medium,medium,high,False
3,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,medium,low,low,low,low,low,low,high,False
4,Start trip,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,medium,medium,medium,medium,high,medium,medium,medium,False
5,End trip,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,medium,medium,medium,medium,high,medium,medium,medium,False
6,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,medium,high,high,medium,high,high,high,low,high,high,high,high,high,high,medium,False
7,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65456,medium,high,high,medium,medium,high,high,medium,medium,medium,medium,medium,medium,medium,low,False
8,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,low,low,low,low,medium,low,medium,low,False
9,Request Payment,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,low,medium,medium,medium,high,medium,medium,low,False
10,Payment Handled,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,low,medium,medium,medium,high,medium,medium,low,False
11,archive_application,task 427,organizational unit 65455,medium,high,high,medium,high,high,high,medium,medium,medium,medium,high,medium,medium,low,False
12,start,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,high,True
13,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,low,medium,medium,high,False
14,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,low,medium,low,high,False
15,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,low,medium,low,medium,False
16,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,low,low,low,low,low,low,medium,False
17,Start trip,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,medium,False
18,End trip,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,medium,False
19,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,medium,medium,False
20,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,low,False
21,Declaration APPROVED by BUDGET OWNER,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,low,medium,low,low,False
22,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,low,medium,low,low,False
23,Request Payment,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,low,False
24,Payment Handled,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,low,False
25,archive_application,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,medium,medium,medium,medium,medium,low,low,False
26,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,high,high,high,medium,high,medium,medium,False
27,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,low,low,low,low,low,low,low,high,high,high,high,medium,high,medium,medium,False
28,Send Reminder,task 427,organizational unit 65458,low,low,low,low,low,low,low,medium,low,low,low,low,low,high,medium,False
29,Declaration REJECTED by BUDGET OWNER,missing,organizational unit 65458,low,low,low,low,low,low,low,medium,high,high,high,medium,high,low,medium,False
30,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,low,low,high,low,low,low,medium,high,high,high,high,high,high,high,False
31,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,low,low,low,high,low,low,low,medium,high,high,high,high,high,high,high,False
32,Permit REJECTED by SUPERVISOR,task 427,organizational unit 65466,low,low,low,low,medium,low,low,medium,low,low,low,low,low,high,medium,False
33,Permit REJECTED by EMPLOYEE,task 427,organizational unit 65466,low,low,low,low,low,low,low,medium,medium,medium,medium,low,medium,high,medium,False
34,Permit REJECTED by BUDGET OWNER,task 427,organizational unit 65480,low,low,low,medium,low,low,low,high,low,low,low,low,low,high,high,False
35,start,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,low,low,low,low,low,low,high,True
36,Permit SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,low,low,low,low,low,low,medium,False
37,Permit APPROVED by ADMINISTRATION,task 427,organizational unit 65456,high,low,low,medium,low,low,low,high,low,low,low,high,low,low,medium,False
38,Permit FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,low,low,low,low,low,low,medium,False
39,Start trip,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,low,low,low,low,low,low,medium,False
40,End trip,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,low,low,low,low,low,low,medium,False
41,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,low,low,low,low,low,low,low,False
42,Declaration REJECTED by ADMINISTRATION,task 427,organizational unit 65456,high,low,low,medium,low,low,low,high,low,low,low,high,low,medium,medium,False
43,Declaration REJECTED by EMPLOYEE,task 427,organizational unit 65456,high,low,low,medium,low,low,low,medium,low,low,low,high,low,medium,medium,False
44,archive_application,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,low,low,low,low,low,low,low,False
45,Permit APPROVED by BUDGET OWNER,task 427,organizational unit 65456,high,low,low,medium,low,low,low,high,low,low,low,high,low,low,medium,False
46,Declaration REJECTED by SUPERVISOR,missing,organizational unit 65455,low,low,low,low,low,low,low,medium,medium,medium,medium,low,medium,high,medium,False
47,Permit REJECTED by ADMINISTRATION,task 427,organizational unit 65466,low,low,low,low,low,low,low,medium,high,high,high,low,high,high,high,False
48,Declaration SAVED by EMPLOYEE,missing,organizational unit 65459,high,low,low,high,low,low,low,medium,low,low,low,low,low,low,low,False
49,Declaration APPROVED by SUPERVISOR,task 427,organizational unit 65458,low,low,low,high,medium,low,low,high,high,high,high,high,high,low,low,False
50,Declaration FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,low,low,low,high,medium,low,low,high,high,high,high,high,high,low,low,False
51,Declaration APPROVED by ADMINISTRATION,task 427,organizational unit 65458,high,low,low,high,high,low,low,low,low,low,low,medium,low,high,medium,False
52,Declaration REJECTED by BUDGET OWNER,task 427,organizational unit 65455,high,low,low,low,high,low,low,high,low,low,low,high,low,low,low,False
53,Permit APPROVED by SUPERVISOR,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,high,high,high,high,high,medium,high,False
54,Permit FINAL_APPROVED by DIRECTOR,task 427,organizational unit 65458,high,low,low,high,medium,low,low,low,high,high,high,high,high,medium,high,False
55,Declaration APPROVED by BUDGET OWNER,missing,organizational unit 65458,high,low,low,high,low,low,low,low,low,low,low,high,low,high,high,False
56,Declaration REJECTED by SUPERVISOR,missing,organizational unit 65457,high,low,low,medium,low,low,low,high,low,low,low,high,low,high,medium,False
57,start,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,high,True
58,Declaration SUBMITTED by EMPLOYEE,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,high,False
59,Declaration FINAL_APPROVED by SUPERVISOR,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,high,False
60,Request Payment,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,high,high,high,low,high,high,high,False
61,Payment Handled,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,high,high,high,low,high,high,high,False
62,Start trip,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,low,False
63,End trip,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,low,False
64,archive_application,task 427,organizational unit 65454,high,medium,low,medium,high,low,medium,low,medium,medium,medium,low,medium,high,low,False
65,start,task 427,organizational unit 65454,low,low,low,medium,medium,low,low,medium,medium,medium,medium,low,medium,medium,high,True
