state,action_index,action,next_state,probability
0,1,Permit SUBMITTED by EMPLOYEE,1,1.0
1,2,Permit APPROVED by ADMINISTRATION,2,1.0
2,3,Permit FINAL_APPROVED by SUPERVISOR,3,1.0
3,4,Start trip,4,1.0
4,5,End trip,5,1.0
5,6,Declaration SUBMITTED by EMPLOYEE,6,1.0
6,7,Declaration APPROVED by ADMINISTRATION,7,1.0
7,8,Declaration FINAL_APPROVED by SUPERVISOR,8,1.0
8,9,Request Payment,9,1.0
9,10,Payment Handled,10,1.0
10,11,archive_application,11,1.0
12,1,Permit SUBMITTED by EMPLOYEE,13,1.0
13,2,Permit APPROVED by ADMINISTRATION,14,1.0
14,12,Permit APPROVED by BUDGET OWNER,15,1.0
15,3,Permit FINAL_APPROVED by SUPERVISOR,16,1.0
16,4,Start trip,17,1.0
17,5,End trip,18,1.0
18,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
19,7,Declaration APPROVED by ADMINISTRATION,20,1.0
20,13,Declaration APPROVED by BUDGET OWNER,21,1.0
21,8,Declaration FINAL_APPROVED by SUPERVISOR,22,1.0
22,9,Request Payment,23,1.0
23,10,Payment Handled,24,1.0
24,11,archive_application,25,1.0
14,3,Permit FINAL_APPROVED by SUPERVISOR,16,1.0
20,8,Declaration FINAL_APPROVED by SUPERVISOR,22,1.0
14,4,Start trip,17,1.0
18,3,Permit FINAL_APPROVED by SUPERVISOR,16,1.0
16,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
17,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
19,5,End trip,18,1.0
18,14,Declaration REJECTED by ADMINISTRATION,26,1.0
26,15,Declaration REJECTED by EMPLOYEE,27,1.0
27,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
18,16,Send Reminder,28,1.0
28,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
12,4,Start trip,17,1.0
18,1,Permit SUBMITTED by EMPLOYEE,13,1.0
19,14,Declaration REJECTED by ADMINISTRATION,26,1.0
20,17,Declaration REJECTED by BUDGET OWNER,29,1.0
29,15,Declaration REJECTED by EMPLOYEE,27,1.0
14,18,Permit APPROVED by SUPERVISOR,30,1.0
30,19,Permit FINAL_APPROVED by DIRECTOR,31,1.0
31,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
24,4,Start trip,17,1.0
18,11,archive_application,25,1.0
15,20,Permit REJECTED by SUPERVISOR,32,1.0
32,21,Permit REJECTED by EMPLOYEE,33,1.0
33,1,Permit SUBMITTED by EMPLOYEE,13,1.0
15,4,Start trip,17,1.0
17,3,Permit FINAL_APPROVED by SUPERVISOR,16,1.0
21,5,End trip,18,1.0
18,8,Declaration FINAL_APPROVED by SUPERVISOR,22,1.0
14,22,Permit REJECTED by BUDGET OWNER,34,1.0
34,21,Permit REJECTED by EMPLOYEE,33,1.0
33,4,Start trip,17,1.0
17,1,Permit SUBMITTED by EMPLOYEE,13,1.0
15,5,End trip,18,1.0
18,7,Declaration APPROVED by ADMINISTRATION,20,1.0
35,1,Permit SUBMITTED by EMPLOYEE,36,1.0
36,2,Permit APPROVED by ADMINISTRATION,37,1.0
37,3,Permit FINAL_APPROVED by SUPERVISOR,38,1.0
38,4,Start trip,39,1.0
39,5,End trip,40,1.0
40,6,Declaration SUBMITTED by EMPLOYEE,41,1.0
41,14,Declaration REJECTED by ADMINISTRATION,42,1.0
42,15,Declaration REJECTED by EMPLOYEE,43,1.0
43,11,archive_application,44,1.0
17,12,Permit APPROVED by BUDGET OWNER,15,1.0
37,4,Start trip,39,1.0
39,12,Permit APPROVED by BUDGET OWNER,45,1.0
45,5,End trip,40,1.0
40,3,Permit FINAL_APPROVED by SUPERVISOR,38,1.0
38,6,Declaration SUBMITTED by EMPLOYEE,41,1.0
16,5,End trip,18,1.0
20,23,Declaration REJECTED by SUPERVISOR,46,1.0
46,15,Declaration REJECTED by EMPLOYEE,27,1.0
13,24,Permit REJECTED by ADMINISTRATION,47,1.0
47,21,Permit REJECTED by EMPLOYEE,33,1.0
14,5,End trip,18,1.0
18,12,Permit APPROVED by BUDGET OWNER,15,1.0
40,25,Declaration SAVED by EMPLOYEE,48,1.0
48,11,archive_application,44,1.0
15,18,Permit APPROVED by SUPERVISOR,30,1.0
31,4,Start trip,17,1.0
19,4,Start trip,17,1.0
17,18,Permit APPROVED by SUPERVISOR,30,1.0
31,5,End trip,18,1.0
21,26,Declaration APPROVED by SUPERVISOR,49,1.0
49,27,Declaration FINAL_APPROVED by DIRECTOR,50,1.0
50,9,Request Payment,23,1.0
23,5,End trip,18,1.0
18,10,Payment Handled,24,1.0
24,5,End trip,18,1.0
30,5,End trip,18,1.0
18,19,Permit FINAL_APPROVED by DIRECTOR,31,1.0
20,26,Declaration APPROVED by SUPERVISOR,49,1.0
14,20,Permit REJECTED by SUPERVISOR,32,1.0
37,12,Permit APPROVED by BUDGET OWNER,45,1.0
45,3,Permit FINAL_APPROVED by SUPERVISOR,38,1.0
41,7,Declaration APPROVED by ADMINISTRATION,51,1.0
51,17,Declaration REJECTED by BUDGET OWNER,52,1.0
52,15,Declaration REJECTED by EMPLOYEE,43,1.0
16,16,Send Reminder,28,1.0
17,7,Declaration APPROVED by ADMINISTRATION,20,1.0
20,5,End trip,18,1.0
47,1,Permit SUBMITTED by EMPLOYEE,13,1.0
13,21,Permit REJECTED by EMPLOYEE,33,1.0
22,10,Payment Handled,24,1.0
43,4,Start trip,39,1.0
40,11,archive_application,44,1.0
26,6,Declaration SUBMITTED by EMPLOYEE,19,1.0
42,4,Start trip,39,1.0
39,15,Declaration REJECTED by EMPLOYEE,43,1.0
43,5,End trip,40,1.0
39,6,Declaration SUBMITTED by EMPLOYEE,41,1.0
41,5,End trip,40,1.0
40,14,Declaration REJECTED by ADMINISTRATION,42,1.0
35,4,Start trip,39,1.0
39,1,Permit SUBMITTED by EMPLOYEE,36,1.0
45,18,Permit APPROVED by SUPERVISOR,53,1.0
53,19,Permit FINAL_APPROVED by DIRECTOR,54,1.0
54,6,Declaration SUBMITTED by EMPLOYEE,41,1.0
51,13,Declaration APPROVED by BUDGET OWNER,55,1.0
55,23,Declaration REJECTED by SUPERVISOR,56,1.0
56,15,Declaration REJECTED by EMPLOYEE,43,1.0
