state,last_action_name,OrganizationalEntity,TaskNumber,Overspent,Cost Type_0,Project_0,Resource,Role,ProjectNumber,ActivityNumber,travel permit number,BudgetNumber,DeclarationNumber_0,RfpNumber_0,Task_0,TotalDeclared,RequestedAmount_0,RequestedBudget,OverspentAmount,execution_time_minutes
0,start,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,137.68525179856115,131.44064748201438,362.08812949640287,106.04856115107914,277.51258992805754,0.0,0.0,850.3749167480728,283.8561151079137,1030.9810451288186,-183.01297548919865,100113.4413968825
1,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,134.92554991539762,131.45685279187816,361.25380710659897,104.67343485617597,276.8527918781726,0.0,0.0,859.3614330502635,284.20812182741116,1032.5532702005016,-176.99463967192037,106141.99323181048
2,Permit APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,ADMINISTRATION,137.80735551663747,131.63922942206656,363.30122591943956,105.20140105078809,278.4185639229422,0.0,0.0,846.4793500612244,285.0718038528897,1028.6960699732804,-183.57453117358958,103198.11938120256
3,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,missing,missing,STAFF MEMBER,BUDGET OWNER,119.675,133.65416666666667,379.4125,91.1875,291.0541666666667,0.0,0.0,830.0841572465821,300.475,1050.8236697303357,-201.64463274308255,109768.37041666666
4,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,138.5906432748538,131.6120857699805,363.14230019493175,104.72709551656921,278.3391812865497,0.0,0.0,740.8427380917477,301.40155945419104,860.5581215083281,-107.26112700384267,97000.16624431449
5,Start trip,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,137.68525179856115,131.44064748201438,362.08812949640287,106.04856115107914,277.51258992805754,0.0,0.0,850.3749167480728,283.8561151079137,1030.9810451288186,-183.01297548919865,100113.4413968825
6,End trip,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,137.68525179856115,131.44064748201438,362.08812949640287,106.04856115107914,277.51258992805754,0.0,0.0,850.3749167480728,283.8561151079137,1030.9810451288186,-183.01297548919865,100113.4413968825
7,Declaration SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,130.30093209054593,131.78695073235687,362.91211717709723,103.35019973368841,278.1491344873502,0.0,0.0,899.7729822056084,290.0386151797603,1055.1418911011756,-157.89500162210518,107286.34920106524
8,Declaration APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,ADMINISTRATION,135.54623287671234,131.62842465753425,361.2140410958904,104.73972602739725,276.888698630137,0.0,0.0,864.1506448051981,289.8972602739726,1047.4129262601894,-186.05799768991756,102716.73147831051
9,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,missing,missing,STAFF MEMBER,BUDGET OWNER,117.93589743589743,132.5940170940171,360.7264957264957,95.08547008547009,276.71367521367523,0.0,0.0,825.59501804642,307.8034188034188,1073.3009557439038,-214.90764147161903,102246.60121082622
10,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,missing,missing,STAFF MEMBER,SUPERVISOR,135.19056261343013,131.3774954627949,360.38112522686026,104.42831215970962,276.1996370235935,0.0,0.0,794.7889183463502,298.6061705989111,982.8500184846483,-179.70331037600286,102146.06279491834
11,Request Payment,organizational unit 65456,task 427,False,missing,missing,SYSTEM,UNDEFINED,136.12456140350878,131.44736842105263,361.11578947368423,105.67894736842105,276.77719298245614,0.0,0.0,864.7434726892214,288.5157894736842,1042.7804816741534,-182.65626322778743,102351.51087719298
12,Payment Handled,organizational unit 65456,task 427,False,missing,missing,SYSTEM,UNDEFINED,135.99474605954467,131.46059544658493,360.72504378283713,105.56217162872154,276.4851138353765,0.0,0.0,863.3057130399727,288.14711033274955,1041.0408905259742,-182.32851051694473,102321.5276415645
13,archive_application,organizational unit 65458,task 427,False,missing,missing,SYSTEM,UNDEFINED,137.68525179856115,131.44064748201438,362.08812949640287,106.04856115107914,277.51258992805754,0.0,0.0,850.3749167480728,283.8561151079137,1030.9810451288186,-183.01297548919865,100113.4413968825
14,start,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,175.30603174603175,134.92,38.724444444444444,118.90539682539682,3169.338412698413,10.20063492063492,4.972698412698413,320.99500123773015,158.47386951063092,994.3775364269598,-652.3097706081422,160227.44973544974
15,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,missing,missing,STAFF MEMBER,EMPLOYEE,174.82285714285715,134.76444444444445,40.495873015873016,118.68698412698413,3169.338412698413,10.42031746031746,4.983492063492063,324.41870881254073,159.78265237597094,993.1745167383963,-649.3434967360222,161213.0696613757
16,Permit APPROVED by ADMINISTRATION,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,ADMINISTRATION,133.8188188188188,132.82982982982983,61.611611611611615,108.53453453453453,3169.077077077077,11.23123123123123,6.5575575575575575,260.0019465062102,117.9759955383427,1045.986283072561,-785.4416602273548,168358.25553887224
17,Request For Payment SUBMITTED by EMPLOYEE,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,EMPLOYEE,192.5587044534413,135.5344129554656,362.11336032388664,99.84615384615384,3170.0,98.25910931174089,52.012145748987855,2289.7451408583934,684.1936776146794,2664.1088534972096,-868.568397439718,169563.05215924422
18,Request For Payment APPROVED by ADMINISTRATION,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,ADMINISTRATION,186.28571428571428,134.92380952380952,378.54285714285714,101.8952380952381,3170.0,75.94285714285714,45.11904761904762,2346.7301006223624,653.4087897602681,2737.7594574695277,-926.6650002953108,171546.66714285716
19,Permit APPROVED by BUDGET OWNER,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,BUDGET OWNER,97.86819484240688,133.30659025787966,80.30085959885386,96.10028653295129,3170.0,14.077363896848137,7.498567335243553,289.0897431630516,129.80830796215292,1043.6712185859965,-762.8102148619431,166195.06518624641
20,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,SUPERVISOR,180.09117432531,135.3377097009482,35.692195477753465,118.6075857038658,3169.2224653537564,9.407002188183807,4.316557257476295,291.7386436084247,161.5829862702685,777.7751906609105,-451.9717759838911,161614.31006564552
21,Request For Payment APPROVED by BUDGET OWNER,organizational unit 65457,task 427,False,0.0,project 503,STAFF MEMBER,BUDGET OWNER,120.59550561797752,132.01123595505618,376.53932584269666,92.88764044943821,3170.0,74.9438202247191,35.943820224719104,1676.081532600549,644.6688806135445,1992.7445305736596,-295.83289277097856,144522.00880149813
22,Request For Payment FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,0.0,project 503,STAFF MEMBER,SUPERVISOR,180.60849056603774,134.96226415094338,361.67452830188677,102.51886792452831,3170.0,104.68396226415095,50.85377358490566,2217.4288433591782,675.466236738437,2601.493697914991,-811.8606062987338,169812.56163522013
23,Request Payment,organizational unit 65458,task 427,False,missing,missing,SYSTEM,UNDEFINED,222.35704514363886,136.83994528043775,176.296853625171,122.82900136798905,3168.127222982216,43.593707250342,23.55266757865937,1321.9707813573834,506.6631368688467,1641.3951503365608,-426.0756545834662,125994.2549475604
24,Payment Handled,organizational unit 65458,task 427,False,missing,missing,SYSTEM,UNDEFINED,222.35704514363886,136.83994528043775,176.296853625171,122.82900136798905,3168.127222982216,43.593707250342,23.55266757865937,1321.9707813573834,506.6631368688467,1641.3951503365608,-426.0756545834662,125994.2549475604
25,Start trip,organizational unit 65458,missing,False,missing,missing,STAFF MEMBER,EMPLOYEE,175.30603174603175,134.92,38.724444444444444,118.90539682539682,3169.338412698413,10.20063492063492,4.972698412698413,320.99500123773015,158.47386951063092,994.3775364269598,-652.3097706081422,160227.44973544974
