state,last_action_name,OrganizationalEntity,TaskNumber,Overspent,Cost Type_0,Project_0,ProjectNumber,ActivityNumber,travel permit number,BudgetNumber,DeclarationNumber_0,TotalDeclared,RequestedAmount_0,RequestedBudget,OverspentAmount,execution_time_minutes,remaining_time_minutes,initial
0,start,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,high,True
1,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,medium,False
2,Permit APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,medium,False
3,Permit APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,low,medium,low,low,low,low,medium,low,medium,low,medium,False
4,Permit FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,low,low,low,low,low,low,medium,low,high,low,medium,False
5,Start trip,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,medium,False
6,End trip,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,medium,False
7,Declaration SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,low,low,low,low,low,medium,low,low,medium,low,low,False
8,Declaration APPROVED by ADMINISTRATION,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,low,False
9,Declaration APPROVED by BUDGET OWNER,organizational unit 65456,task 427,False,,,low,low,low,low,low,low,medium,low,medium,low,low,False
10,Declaration FINAL_APPROVED by SUPERVISOR,organizational unit 65456,task 427,False,,,low,low,low,low,low,low,medium,low,medium,low,low,False
11,Request Payment,organizational unit 65456,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,low,False
12,Payment Handled,organizational unit 65456,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,low,False
13,archive_application,organizational unit 65458,task 427,False,,,low,low,low,low,low,low,low,low,medium,low,low,False
14,start,organizational unit 65458,,False,,,low,medium,low,medium,medium,low,low,low,low,high,high,True
15,Permit SUBMITTED by EMPLOYEE,organizational unit 65458,task 427,False,,,low,medium,low,medium,medium,low,low,low,low,high,high,False
16,Permit APPROVED by ADMINISTRATION,organizational unit 65458,,False,,,low,low,low,low,medium,low,low,low,low,high,high,False
