state,action_index,action,next_state,probability
0,1,Permit SUBMITTED by EMPLOYEE,1,1.0
1,2,Permit APPROVED by ADMINISTRATION,2,1.0
2,3,Permit APPROVED by BUDGET OWNER,3,1.0
3,4,Permit FINAL_APPROVED by SUPERVISOR,4,1.0
4,5,Start trip,5,1.0
5,6,End trip,6,1.0
6,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
7,8,Declaration APPROVED by ADMINISTRATION,8,1.0
8,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
8,9,Declaration APPROVED by BUDGET OWNER,9,1.0
9,9,Declaration APPROVED by BUDGET OWNER,9,1.0
9,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
10,11,Request Payment,11,1.0
11,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
11,12,Payment Handled,12,1.0
12,12,Payment Handled,12,1.0
12,13,archive_application,13,1.0
2,5,Start trip,5,1.0
6,4,Permit FINAL_APPROVED by SUPERVISOR,4,1.0
4,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
8,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
2,4,Permit FINAL_APPROVED by SUPERVISOR,4,1.0
14,1,Permit SUBMITTED by EMPLOYEE,15,1.0
15,2,Permit APPROVED by ADMINISTRATION,16,1.0
16,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
17,15,Request For Payment APPROVED by ADMINISTRATION,18,1.0
18,3,Permit APPROVED by BUDGET OWNER,19,1.0
19,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
21,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
22,11,Request Payment,23,1.0
23,12,Payment Handled,24,1.0
24,5,Start trip,25,1.0
25,6,End trip,26,1.0
26,18,Send Reminder,27,1.0
27,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
28,8,Declaration APPROVED by ADMINISTRATION,29,1.0
29,9,Declaration APPROVED by BUDGET OWNER,30,1.0
30,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
31,11,Request Payment,23,1.0
24,13,archive_application,32,1.0
0,5,Start trip,5,1.0
6,1,Permit SUBMITTED by EMPLOYEE,1,1.0
16,3,Permit APPROVED by BUDGET OWNER,19,1.0
20,5,Start trip,25,1.0
27,18,Send Reminder,27,1.0
27,13,archive_application,32,1.0
7,19,Declaration REJECTED by ADMINISTRATION,33,1.0
33,20,Declaration REJECTED by EMPLOYEE,34,1.0
34,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
16,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
18,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
18,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
22,17,Request For Payment FINAL_APPROVED by SUPERVISOR,22,1.0
23,11,Request Payment,23,1.0
24,12,Payment Handled,24,1.0
26,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
28,19,Declaration REJECTED by ADMINISTRATION,35,1.0
35,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
29,20,Declaration REJECTED by EMPLOYEE,36,1.0
36,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
29,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
31,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
19,5,Start trip,25,1.0
26,4,Permit FINAL_APPROVED by SUPERVISOR,20,1.0
20,18,Send Reminder,27,1.0
14,21,Permit SAVED by EMPLOYEE,37,1.0
37,5,Start trip,25,1.0
26,13,archive_application,32,1.0
18,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
21,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
26,14,Request For Payment SUBMITTED by EMPLOYEE,17,1.0
18,7,Declaration SUBMITTED by EMPLOYEE,28,1.0
30,16,Request For Payment APPROVED by BUDGET OWNER,21,1.0
22,10,Declaration FINAL_APPROVED by SUPERVISOR,31,1.0
2,22,Permit APPROVED by SUPERVISOR,38,1.0
38,23,Permit FINAL_APPROVED by DIRECTOR,39,1.0
39,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
12,5,Start trip,5,1.0
6,13,archive_application,13,1.0
3,24,Permit REJECTED by SUPERVISOR,40,1.0
40,25,Permit REJECTED by EMPLOYEE,41,1.0
41,1,Permit SUBMITTED by EMPLOYEE,1,1.0
3,5,Start trip,5,1.0
5,4,Permit FINAL_APPROVED by SUPERVISOR,4,1.0
9,6,End trip,6,1.0
6,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
35,20,Declaration REJECTED by EMPLOYEE,36,1.0
2,26,Permit REJECTED by BUDGET OWNER,42,1.0
42,25,Permit REJECTED by EMPLOYEE,41,1.0
41,5,Start trip,5,1.0
5,1,Permit SUBMITTED by EMPLOYEE,1,1.0
3,6,End trip,6,1.0
20,27,Request For Payment SAVED by EMPLOYEE,43,1.0
43,5,Start trip,25,1.0
39,5,Start trip,5,1.0
5,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
7,6,End trip,6,1.0
6,8,Declaration APPROVED by ADMINISTRATION,8,1.0
12,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
9,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
10,9,Declaration APPROVED by BUDGET OWNER,9,1.0
9,11,Request Payment,11,1.0
12,10,Declaration FINAL_APPROVED by SUPERVISOR,10,1.0
14,5,Start trip,25,1.0
26,1,Permit SUBMITTED by EMPLOYEE,15,1.0
5,3,Permit APPROVED by BUDGET OWNER,3,1.0
6,18,Send Reminder,44,1.0
44,7,Declaration SUBMITTED by EMPLOYEE,7,1.0
4,6,End trip,6,1.0
8,28,Declaration REJECTED by SUPERVISOR,45,1.0
45,20,Declaration REJECTED by EMPLOYEE,34,1.0
8,29,Declaration REJECTED by BUDGET OWNER,46,1.0
46,20,Declaration REJECTED by EMPLOYEE,34,1.0
2,6,End trip,6,1.0
6,3,Permit APPROVED by BUDGET OWNER,3,1.0
19,24,Permit REJECTED by SUPERVISOR,47,1.0
47,25,Permit REJECTED by EMPLOYEE,48,1.0
48,5,Start trip,25,1.0
