state,last_action_name,article,vehicleClass,lastSent,notificationType,dismissal,amount,points,expense,execution_time_minutes,remaining_time_minutes,initial
0,start,157.0,A,,,,low,medium,low,low,medium,True
1,Create Fine,157.0,A,,,,low,medium,low,low,medium,False
2,Send Fine,157.0,A,,,,low,medium,medium,high,high,False
3,Insert Fine Notification,157.0,A,P,P,,low,medium,medium,high,high,False
4,Add penalty,157.0,A,P,P,,high,medium,medium,high,high,False
5,Send for Credit Collection,157.0,A,P,P,,high,medium,medium,high,low,False
6,archive_application,157.0,A,P,P,,medium,medium,low,low,low,False
7,Payment,157.0,A,,,,low,medium,low,low,low,False
8,start,157.0,A,,,,low,medium,low,low,medium,True
9,Create Fine,157.0,A,,,,low,medium,low,low,medium,False
10,Send Fine,157.0,A,,,,low,medium,medium,medium,high,False
11,Insert Fine Notification,157.0,A,N,P,,low,medium,medium,high,high,False
12,Add penalty,157.0,A,N,P,,medium,medium,medium,high,high,False
13,Send for Credit Collection,157.0,A,N,P,,medium,medium,medium,high,low,False
14,archive_application,157.0,A,,P,,medium,medium,low,low,low,False
15,Payment,157.0,A,,,,low,medium,low,low,low,False
16,start,157.0,A,,,,low,low,low,low,medium,True
17,Create Fine,157.0,A,,,,low,low,low,low,medium,False
18,Send Fine,157.0,A,,,,low,low,medium,medium,high,False
19,Insert Fine Notification,157.0,A,N,P,,low,low,medium,high,high,False
20,Add penalty,157.0,A,N,P,,medium,low,medium,medium,high,False
21,Send for Credit Collection,157.0,A,N,P,,medium,low,medium,high,low,False
22,archive_application,157.0,A,,P,,low,low,low,low,low,False
23,Payment,157.0,A,,,,low,low,low,low,low,False
24,start,157.0,A,,,,low,medium,low,low,medium,True
25,Create Fine,157.0,A,,,,low,medium,low,low,medium,False
26,Send Fine,157.0,A,,,,low,medium,medium,high,high,False
27,Insert Fine Notification,157.0,A,P,P,,low,medium,medium,high,high,False
28,Add penalty,157.0,A,P,P,,medium,medium,medium,high,high,False
29,Send for Credit Collection,157.0,A,P,P,,medium,medium,medium,high,low,False
30,archive_application,157.0,A,P,P,,medium,medium,low,low,low,False
31,Payment,157.0,A,,,,low,low,low,low,low,False
32,Insert Date Appeal to Prefecture,157.0,A,P,P,,low,medium,high,medium,medium,False
33,Send Appeal to Prefecture,157.0,A,P,P,,medium,medium,high,medium,low,False
34,Receive Result Appeal from Prefecture,157.0,A,P,P,,medium,medium,high,medium,low,False
35,Notify Result Appeal to Offender,157.0,A,P,P,,medium,high,high,medium,low,False
36,Insert Date Appeal to Prefecture,157.0,A,P,P,,low,medium,high,medium,medium,False
37,Send Appeal to Prefecture,157.0,A,P,P,,medium,high,high,medium,medium,False
