state,action_index,action,next_state,probability
0,1,Create Fine,1,1.0
1,2,Send Fine,2,1.0
2,3,Insert Fine Notification,3,1.0
3,4,Add penalty,4,1.0
4,5,Send for Credit Collection,5,1.0
5,6,archive_application,6,1.0
4,7,Payment,7,1.0
7,6,archive_application,6,1.0
8,1,Create Fine,9,1.0
9,2,Send Fine,10,1.0
10,3,Insert Fine Notification,11,1.0
11,4,Add penalty,12,0.9994011976047904
11,4,Add penalty,75,0.0005988023952095808
12,5,Send for Credit Collection,13,1.0
13,6,archive_application,14,1.0
9,7,Payment,15,1.0
15,6,archive_application,14,1.0
12,7,Payment,15,1.0
15,7,Payment,15,1.0
16,1,Create Fine,17,1.0
17,2,Send Fine,18,1.0
18,3,Insert Fine Notification,19,1.0
19,4,Add penalty,20,1.0
20,5,Send for Credit Collection,21,1.0
21,6,archive_application,22,1.0
17,7,Payment,23,1.0
23,6,archive_application,22,1.0
20,7,Payment,23,1.0
24,1,Create Fine,25,1.0
25,2,Send Fine,26,1.0
26,3,Insert Fine Notification,27,1.0
27,4,Add penalty,28,1.0
28,5,Send for Credit Collection,29,1.0
29,6,archive_application,30,1.0
25,7,Payment,31,1.0
31,6,archive_application,30,1.0
28,7,Payment,31,1.0
31,7,Payment,31,1.0
27,8,Insert Date Appeal to Prefecture,32,1.0
32,7,Payment,31,1.0
31,4,Add penalty,28,1.0
28,9,Send Appeal to Prefecture,33,1.0
33,6,archive_application,30,1.0
23,5,Send for Credit Collection,21,1.0
28,8,Insert Date Appeal to Prefecture,32,1.0
32,9,Send Appeal to Prefecture,33,1.0
33,10,Receive Result Appeal from Prefecture,34,1.0
34,11,Notify Result Appeal to Offender,35,1.0
35,7,Payment,31,1.0
1,7,Payment,7,1.0
4,8,Insert Date Appeal to Prefecture,36,1.0
36,9,Send Appeal to Prefecture,37,1.0
37,10,Receive Result Appeal from Prefecture,38,1.0
38,11,Notify Result Appeal to Offender,39,1.0
39,7,Payment,7,1.0
23,7,Payment,23,1.0
18,7,Payment,23,1.0
26,7,Payment,31,1.0
19,8,Insert Date Appeal to Prefecture,40,1.0
40,4,Add penalty,20,1.0
20,9,Send Appeal to Prefecture,41,1.0
41,10,Receive Result Appeal from Prefecture,42,1.0
42,11,Notify Result Appeal to Offender,43,1.0
43,7,Payment,23,1.0
31,5,Send for Credit Collection,29,1.0
27,7,Payment,31,1.0
7,7,Payment,7,1.0
7,5,Send for Credit Collection,5,1.0
15,5,Send for Credit Collection,13,1.0
31,2,Send Fine,26,1.0
20,8,Insert Date Appeal to Prefecture,40,1.0
40,9,Send Appeal to Prefecture,41,1.0
7,2,Send Fine,2,1.0
23,2,Send Fine,18,1.0
18,6,archive_application,22,1.0
10,7,Payment,15,1.0
11,8,Insert Date Appeal to Prefecture,44,1.0
44,4,Add penalty,12,1.0
12,9,Send Appeal to Prefecture,45,1.0
45,10,Receive Result Appeal from Prefecture,46,1.0
46,11,Notify Result Appeal to Offender,47,1.0
47,7,Payment,15,1.0
32,4,Add penalty,28,1.0
33,4,Add penalty,28,1.0
28,10,Receive Result Appeal from Prefecture,34,1.0
35,5,Send for Credit Collection,29,1.0
36,10,Receive Result Appeal from Prefecture,38,1.0
26,8,Insert Date Appeal to Prefecture,32,1.0
32,3,Insert Fine Notification,27,1.0
41,4,Add penalty,20,1.0
20,10,Receive Result Appeal from Prefecture,42,1.0
43,5,Send for Credit Collection,21,1.0
27,12,Appeal to Judge,48,1.0
48,4,Add penalty,49,1.0
49,7,Payment,50,1.0
50,6,archive_application,51,1.0
3,8,Insert Date Appeal to Prefecture,36,1.0
37,4,Add penalty,4,1.0
4,10,Receive Result Appeal from Prefecture,38,1.0
39,5,Send for Credit Collection,5,1.0
36,4,Add penalty,4,1.0
4,9,Send Appeal to Prefecture,37,1.0
3,12,Appeal to Judge,48,1.0
49,5,Send for Credit Collection,52,1.0
52,6,archive_application,51,1.0
3,7,Payment,7,1.0
7,4,Add penalty,4,1.0
44,9,Send Appeal to Prefecture,45,1.0
47,4,Add penalty,12,1.0
47,5,Send for Credit Collection,13,1.0
45,4,Add penalty,12,1.0
12,10,Receive Result Appeal from Prefecture,46,1.0
2,6,archive_application,6,1.0
35,4,Add penalty,28,1.0
40,7,Payment,23,1.0
23,4,Add penalty,20,1.0
41,6,archive_application,22,1.0
11,7,Payment,15,1.0
15,4,Add penalty,12,1.0
34,4,Add penalty,28,1.0
28,11,Notify Result Appeal to Offender,35,1.0
2,7,Payment,7,1.0
12,8,Insert Date Appeal to Prefecture,44,1.0
44,10,Receive Result Appeal from Prefecture,46,1.0
31,10,Receive Result Appeal from Prefecture,34,1.0
34,7,Payment,31,1.0
19,12,Appeal to Judge,48,1.0
32,10,Receive Result Appeal from Prefecture,34,1.0
29,9,Send Appeal to Prefecture,33,1.0
35,10,Receive Result Appeal from Prefecture,34,1.0
34,5,Send for Credit Collection,29,1.0
23,3,Insert Fine Notification,19,1.0
13,9,Send Appeal to Prefecture,45,1.0
45,6,archive_application,14,1.0
15,2,Send Fine,10,1.0
46,4,Add penalty,12,1.0
12,11,Notify Result Appeal to Offender,47,1.0
10,6,archive_application,14,1.0
43,12,Appeal to Judge,48,1.0
48,7,Payment,50,1.0
19,7,Payment,23,1.0
26,6,archive_application,30,1.0
11,12,Appeal to Judge,48,1.0
47,12,Appeal to Judge,48,1.0
48,5,Send for Credit Collection,52,1.0
2,8,Insert Date Appeal to Prefecture,36,1.0
36,3,Insert Fine Notification,3,1.0
36,7,Payment,7,1.0
37,6,archive_application,6,1.0
20,12,Appeal to Judge,48,1.0
11,10,Receive Result Appeal from Prefecture,46,1.0
28,12,Appeal to Judge,48,1.0
39,9,Send Appeal to Prefecture,37,1.0
37,5,Send for Credit Collection,5,1.0
4,12,Appeal to Judge,48,1.0
49,8,Insert Date Appeal to Prefecture,53,1.0
53,9,Send Appeal to Prefecture,54,1.0
54,7,Payment,50,1.0
55,1,Create Fine,56,1.0
56,7,Payment,57,1.0
57,6,archive_application,58,1.0
59,1,Create Fine,60,1.0
60,2,Send Fine,61,1.0
61,3,Insert Fine Notification,62,1.0
62,4,Add penalty,63,1.0
63,7,Payment,64,1.0
64,5,Send for Credit Collection,65,1.0
65,6,archive_application,66,1.0
63,5,Send for Credit Collection,65,1.0
67,1,Create Fine,68,1.0
68,2,Send Fine,69,1.0
69,3,Insert Fine Notification,70,1.0
70,4,Add penalty,49,1.0
64,7,Payment,64,1.0
64,6,archive_application,66,1.0
50,7,Payment,50,1.0
60,7,Payment,64,1.0
61,7,Payment,64,1.0
71,1,Create Fine,72,1.0
72,2,Send Fine,73,1.0
73,3,Insert Fine Notification,74,1.0
74,4,Add penalty,75,1.0
75,7,Payment,76,1.0
76,6,archive_application,77,1.0
64,2,Send Fine,61,1.0
78,1,Create Fine,79,1.0
79,2,Send Fine,80,1.0
80,3,Insert Fine Notification,81,1.0
81,4,Add penalty,82,1.0
82,5,Send for Credit Collection,83,1.0
83,6,archive_application,84,1.0
56,2,Send Fine,85,1.0
85,3,Insert Fine Notification,86,1.0
86,4,Add penalty,87,1.0
87,5,Send for Credit Collection,88,1.0
88,6,archive_application,58,1.0
68,7,Payment,50,1.0
70,7,Payment,50,1.0
50,4,Add penalty,49,1.0
62,7,Payment,64,1.0
64,4,Add penalty,63,1.0
75,5,Send for Credit Collection,89,1.0
89,6,archive_application,77,1.0
63,10,Receive Result Appeal from Prefecture,90,1.0
90,11,Notify Result Appeal to Offender,91,1.0
91,7,Payment,64,1.0
60,8,Insert Date Appeal to Prefecture,92,1.0
92,9,Send Appeal to Prefecture,93,1.0
93,2,Send Fine,61,1.0
74,7,Payment,76,1.0
76,4,Add penalty,75,1.0
94,1,Create Fine,95,1.0
95,2,Send Fine,96,1.0
96,3,Insert Fine Notification,97,1.0
97,4,Add penalty,98,1.0
98,5,Send for Credit Collection,99,1.0
99,6,archive_application,100,1.0
82,7,Payment,101,1.0
101,6,archive_application,84,1.0
101,7,Payment,101,1.0
79,7,Payment,101,1.0
101,2,Send Fine,80,1.0
80,7,Payment,101,1.0
81,7,Payment,101,1.0
101,4,Add penalty,82,1.0
76,5,Send for Credit Collection,89,1.0
98,8,Insert Date Appeal to Prefecture,102,1.0
102,9,Send Appeal to Prefecture,103,1.0
103,10,Receive Result Appeal from Prefecture,104,1.0
104,11,Notify Result Appeal to Offender,105,1.0
105,5,Send for Credit Collection,99,1.0
98,7,Payment,106,1.0
106,6,archive_application,100,1.0
70,8,Insert Date Appeal to Prefecture,53,1.0
54,4,Add penalty,49,1.0
49,10,Receive Result Appeal from Prefecture,107,1.0
107,11,Notify Result Appeal to Offender,108,1.0
108,5,Send for Credit Collection,52,1.0
101,5,Send for Credit Collection,83,1.0
106,7,Payment,106,1.0
80,6,archive_application,84,1.0
61,6,archive_application,66,1.0
96,7,Payment,106,1.0
81,12,Appeal to Judge,48,1.0
73,7,Payment,76,1.0
72,7,Payment,76,1.0
62,8,Insert Date Appeal to Prefecture,92,1.0
92,4,Add penalty,63,1.0
93,4,Add penalty,63,1.0
91,5,Send for Credit Collection,65,1.0
76,2,Send Fine,73,1.0
73,6,archive_application,77,1.0
106,5,Send for Credit Collection,99,1.0
95,7,Payment,106,1.0
106,2,Send Fine,96,1.0
96,6,archive_application,100,1.0
97,7,Payment,106,1.0
106,4,Add penalty,98,1.0
87,7,Payment,57,1.0
106,3,Insert Fine Notification,97,1.0
57,2,Send Fine,85,1.0
85,6,archive_application,58,1.0
70,12,Appeal to Judge,48,1.0
