state,action_index,action,next_state,probability
0,1,ER Registration,1,1.0
1,2,Leucocytes,2,1.0
2,3,CRP,3,1.0
3,4,LacticAcid,4,1.0
4,5,ER Triage,5,1.0
5,6,ER Sepsis Triage,6,1.0
6,7,IV Liquid,7,1.0
7,8,IV Antibiotics,8,1.0
8,9,Admission NC,9,1.0
9,3,CRP,3,1.0
3,2,Leucocytes,2,1.0
2,2,Leucocytes,2,1.0
3,3,CRP,3,1.0
2,10,Release A,10,1.0
10,11,archive_application,11,1.0
12,1,ER Registration,13,1.0
13,5,ER Triage,14,1.0
14,6,ER Sepsis Triage,15,1.0
15,7,IV Liquid,16,1.0
16,4,LacticAcid,17,1.0
17,2,Leucocytes,18,1.0
18,3,CRP,19,1.0
19,8,IV Antibiotics,20,1.0
20,9,Admission NC,21,1.0
21,2,Leucocytes,18,1.0
19,2,Leucocytes,18,1.0
18,2,Leucocytes,18,1.0
19,3,CRP,19,1.0
18,10,Release A,22,1.0
22,11,archive_application,23,1.0
1,5,ER Triage,5,1.0
6,2,Leucocytes,2,1.0
2,4,LacticAcid,4,1.0
4,3,CRP,3,1.0
3,7,IV Liquid,7,1.0
10,12,Return ER,24,1.0
24,11,archive_application,11,1.0
6,4,LacticAcid,4,1.0
2,7,IV Liquid,7,1.0
9,13,Admission IC,25,1.0
25,2,Leucocytes,2,1.0
4,2,Leucocytes,2,1.0
2,9,Admission NC,9,1.0
3,10,Release A,10,1.0
26,1,ER Registration,27,1.0
27,5,ER Triage,28,1.0
28,6,ER Sepsis Triage,29,1.0
29,4,LacticAcid,30,1.0
30,2,Leucocytes,31,1.0
31,3,CRP,32,1.0
32,8,IV Antibiotics,33,1.0
33,9,Admission NC,34,1.0
34,3,CRP,32,1.0
32,2,Leucocytes,31,1.0
32,3,CRP,32,1.0
31,10,Release A,35,1.0
35,12,Return ER,36,1.0
36,3,CRP,32,1.0
31,4,LacticAcid,30,1.0
30,11,archive_application,37,1.0
38,1,ER Registration,39,1.0
39,5,ER Triage,40,1.0
40,6,ER Sepsis Triage,41,1.0
41,2,Leucocytes,42,1.0
42,3,CRP,43,1.0
43,4,LacticAcid,44,1.0
44,7,IV Liquid,45,1.0
45,8,IV Antibiotics,46,1.0
46,9,Admission NC,47,1.0
47,2,Leucocytes,42,1.0
43,13,Admission IC,48,1.0
48,2,Leucocytes,42,1.0
42,4,LacticAcid,44,1.0
44,3,CRP,43,1.0
43,9,Admission NC,47,1.0
47,10,Release A,49,1.0
49,12,Return ER,50,1.0
50,11,archive_application,51,1.0
52,1,ER Registration,53,1.0
53,3,CRP,54,1.0
54,2,Leucocytes,55,1.0
55,5,ER Triage,56,1.0
56,6,ER Sepsis Triage,57,1.0
57,4,LacticAcid,58,1.0
58,7,IV Liquid,59,1.0
59,8,IV Antibiotics,60,1.0
60,9,Admission NC,61,1.0
61,3,CRP,54,1.0
55,2,Leucocytes,55,1.0
55,3,CRP,54,1.0
54,3,CRP,54,1.0
55,10,Release A,62,1.0
62,12,Return ER,63,1.0
63,11,archive_application,64,1.0
43,8,IV Antibiotics,46,1.0
47,3,CRP,43,1.0
43,3,CRP,43,1.0
43,10,Release A,49,1.0
65,1,ER Registration,66,1.0
66,5,ER Triage,67,1.0
67,6,ER Sepsis Triage,68,1.0
68,4,LacticAcid,69,1.0
69,2,Leucocytes,70,1.0
70,3,CRP,71,1.0
71,7,IV Liquid,72,1.0
72,8,IV Antibiotics,73,1.0
73,9,Admission NC,74,1.0
74,2,Leucocytes,70,1.0
71,9,Admission NC,74,1.0
74,3,CRP,71,1.0
71,2,Leucocytes,70,1.0
70,10,Release A,75,1.0
75,11,archive_application,76,1.0
53,5,ER Triage,56,1.0
58,2,Leucocytes,55,1.0
54,8,IV Antibiotics,60,1.0
61,2,Leucocytes,55,1.0
54,10,Release A,62,1.0
62,11,archive_application,64,1.0
7,4,LacticAcid,4,1.0
3,8,IV Antibiotics,8,1.0
9,2,Leucocytes,2,1.0
5,3,CRP,3,1.0
4,6,ER Sepsis Triage,6,1.0
4,7,IV Liquid,7,1.0
67,4,LacticAcid,69,1.0
71,6,ER Sepsis Triage,68,1.0
68,7,IV Liquid,72,1.0
72,2,Leucocytes,70,1.0
70,8,IV Antibiotics,73,1.0
74,9,Admission NC,74,1.0
71,3,CRP,71,1.0
70,2,Leucocytes,70,1.0
71,10,Release A,75,1.0
75,12,Return ER,77,1.0
77,11,archive_application,76,1.0
8,3,CRP,3,1.0
57,2,Leucocytes,55,1.0
54,9,Admission NC,61,1.0
78,1,ER Registration,79,1.0
79,5,ER Triage,80,1.0
80,6,ER Sepsis Triage,81,1.0
81,3,CRP,82,1.0
82,2,Leucocytes,83,1.0
83,9,Admission NC,84,1.0
84,2,Leucocytes,83,1.0
83,3,CRP,82,1.0
82,10,Release A,85,1.0
85,11,archive_application,86,1.0
87,1,ER Registration,88,1.0
88,5,ER Triage,89,1.0
89,6,ER Sepsis Triage,90,1.0
90,2,Leucocytes,91,1.0
91,9,Admission NC,92,1.0
92,10,Release A,93,1.0
93,12,Return ER,94,1.0
94,11,archive_application,95,1.0
91,4,LacticAcid,96,1.0
96,3,CRP,97,1.0
97,7,IV Liquid,98,1.0
98,8,IV Antibiotics,99,1.0
99,9,Admission NC,92,1.0
92,3,CRP,97,1.0
97,2,Leucocytes,91,1.0
91,3,CRP,97,1.0
91,2,Leucocytes,91,1.0
97,10,Release A,93,1.0
100,1,ER Registration,101,1.0
101,5,ER Triage,102,1.0
102,6,ER Sepsis Triage,103,1.0
103,3,CRP,104,1.0
104,4,LacticAcid,105,1.0
105,2,Leucocytes,106,1.0
106,7,IV Liquid,107,1.0
107,8,IV Antibiotics,108,1.0
108,2,Leucocytes,106,1.0
106,3,CRP,104,1.0
105,13,Admission IC,109,1.0
109,2,Leucocytes,106,1.0
106,4,LacticAcid,105,1.0
105,3,CRP,104,1.0
104,2,Leucocytes,106,1.0
106,14,Release B,110,1.0
110,11,archive_application,111,1.0
41,7,IV Liquid,45,1.0
46,4,LacticAcid,44,1.0
44,2,Leucocytes,42,1.0
49,11,archive_application,51,1.0
28,3,CRP,32,1.0
30,6,ER Sepsis Triage,29,1.0
29,9,Admission NC,34,1.0
34,2,Leucocytes,31,1.0
31,2,Leucocytes,31,1.0
32,14,Release B,112,1.0
112,11,archive_application,37,1.0
68,2,Leucocytes,70,1.0
71,4,LacticAcid,69,1.0
69,7,IV Liquid,72,1.0
43,2,Leucocytes,42,1.0
42,9,Admission NC,47,1.0
42,10,Release A,49,1.0
6,3,CRP,3,1.0
9,9,Admission NC,9,1.0
103,2,Leucocytes,106,1.0
105,8,IV Antibiotics,108,1.0
108,7,IV Liquid,107,1.0
107,9,Admission NC,113,1.0
113,2,Leucocytes,106,1.0
106,9,Admission NC,113,1.0
113,3,CRP,104,1.0
106,10,Release A,114,1.0
114,12,Return ER,115,1.0
115,11,archive_application,111,1.0
7,2,Leucocytes,2,1.0
4,8,IV Antibiotics,8,1.0
0,2,Leucocytes,2,1.0
3,1,ER Registration,1,1.0
4,9,Admission NC,9,1.0
3,13,Admission IC,25,1.0
25,4,LacticAcid,4,1.0
3,14,Release B,116,1.0
116,11,archive_application,11,1.0
68,3,CRP,71,1.0
70,9,Admission NC,74,1.0
74,10,Release A,75,1.0
